runtime,scheduler,algorithm,n,b,threads,rep,time,gflops
parsec,gd,dpotrf,19200,256,24,.3,3.758152e+00,6.278299e+02
parsec,gd,dgeqrf,19200,384,24,.3,2.139619e+01,4.411029e+02
parsec,lfq,dpotrf,19200,256,24,.3,3.782735e+00,6.237498e+02
parsec,lfq,dgeqrf,19200,480,24,.3,2.153964e+01,4.381653e+02
parsec,gd,dgeqrf,19200,960,24,.3,2.716132e+01,3.474766e+02
parsec,gd,dpotrf,19200,200,24,.3,3.786503e+00,6.231291e+02
parsec,lfq,dgeqrf,19200,640,24,.3,2.664112e+01,3.542615e+02
parsec,gd,dpotrf,19200,640,24,.3,3.799789e+00,6.209504e+02
parsec,gd,dgeqrf,19200,200,24,.4,2.533033e+01,3.725937e+02
parsec,lfq,dpotrf,19200,256,24,.4,3.785726e+00,6.232570e+02
parsec,gd,dpotrf,19200,640,24,.4,3.818930e+00,6.178381e+02
parsec,lfq,dgeqrf,19200,384,24,.4,2.156307e+01,4.376891e+02
parsec,gd,dpotrf,19200,384,24,.4,3.698686e+00,6.379240e+02
parsec,lfq,dpotrf,19200,960,24,.4,4.122888e+00,5.722883e+02
parsec,lfq,dpotrf,19200,200,24,.4,3.900631e+00,6.048971e+02
parsec,lfq,dgeqrf,19200,960,24,.4,2.812453e+01,3.355762e+02
parsec,gd,dpotrf,19200,960,24,.4,4.090185e+00,5.768640e+02
parsec,lfq,dgeqrf,19200,480,24,.4,2.146546e+01,4.396793e+02
parsec,lfq,dgeqrf,19200,200,24,.4,2.511856e+01,3.757349e+02
parsec,gd,dgeqrf,19200,320,24,.4,2.184310e+01,4.320780e+02
parsec,gd,dgeqrf,19200,480,24,.4,2.121944e+01,4.447771e+02
parsec,lfq,dpotrf,19200,384,24,.4,3.826280e+00,6.166512e+02
parsec,gd,dpotrf,19200,320,24,.4,3.773459e+00,6.252832e+02
parsec,lfq,dgeqrf,19200,256,24,.4,2.375913e+01,3.972335e+02
parsec,gd,dpotrf,19200,200,24,.4,3.794877e+00,6.217541e+02
parsec,gd,dpotrf,19200,256,24,.4,3.731029e+00,6.323940e+02
parsec,gd,dgeqrf,19200,640,24,.4,2.541417e+01,3.713645e+02
parsec,gd,dgeqrf,19200,384,24,.4,2.140356e+01,4.409509e+02
parsec,lfq,dpotrf,19200,320,24,.4,3.875802e+00,6.087721e+02
parsec,gd,dgeqrf,19200,960,24,.4,2.715944e+01,3.475005e+02
parsec,lfq,dgeqrf,19200,640,24,.4,2.680405e+01,3.521081e+02
parsec,lfq,dpotrf,19200,640,24,.4,4.031312e+00,5.852884e+02
parsec,lfq,dgeqrf,19200,320,24,.4,2.191739e+01,4.306133e+02
parsec,lfq,dpotrf,19200,480,24,.4,3.786947e+00,6.230561e+02
parsec,gd,dpotrf,19200,480,24,.4,3.644070e+00,6.474849e+02
parsec,gd,dgeqrf,19200,256,24,.4,2.384013e+01,3.958837e+02
parsec,lfq,dpotrf,19200,200,24,.5,3.894823e+00,6.057991e+02
parsec,lfq,dgeqrf,19200,960,24,.5,2.799012e+01,3.371876e+02
parsec,lfq,dgeqrf,19200,640,24,.5,2.693958e+01,3.503366e+02
parsec,lfq,dpotrf,19200,256,24,.5,3.795530e+00,6.216472e+02
parsec,gd,dpotrf,19200,960,24,.5,4.067996e+00,5.800105e+02
parsec,gd,dgeqrf,19200,200,24,.5,2.532903e+01,3.726128e+02
parsec,lfq,dgeqrf,19200,320,24,.5,2.187080e+01,4.315308e+02
parsec,lfq,dpotrf,19200,320,24,.5,3.859943e+00,6.112734e+02
parsec,gd,dgeqrf,19200,384,24,.5,2.140381e+01,4.409459e+02
parsec,gd,dgeqrf,19200,480,24,.5,2.122533e+01,4.446537e+02
parsec,lfq,dpotrf,19200,480,24,.5,3.778821e+00,6.243959e+02
parsec,gd,dpotrf,19200,256,24,.5,3.731542e+00,6.323071e+02
parsec,lfq,dpotrf,19200,960,24,.5,4.028324e+00,5.857226e+02
parsec,gd,dgeqrf,19200,960,24,.5,2.719616e+01,3.470314e+02
parsec,lfq,dgeqrf,19200,480,24,.5,2.184843e+01,4.319725e+02
parsec,lfq,dgeqrf,19200,200,24,.5,2.515709e+01,3.751595e+02
parsec,lfq,dgeqrf,19200,384,24,.5,2.152416e+01,4.384804e+02
parsec,lfq,dpotrf,19200,384,24,.5,3.814155e+00,6.186116e+02
parsec,gd,dgeqrf,19200,320,24,.5,2.183234e+01,4.322908e+02
parsec,gd,dgeqrf,19200,640,24,.5,2.537463e+01,3.719433e+02
parsec,lfq,dpotrf,19200,640,24,.5,4.020094e+00,5.869217e+02
parsec,gd,dpotrf,19200,480,24,.5,3.635547e+00,6.490028e+02
parsec,gd,dpotrf,19200,200,24,.5,3.785398e+00,6.233110e+02
parsec,gd,dpotrf,19200,384,24,.5,3.716170e+00,6.349226e+02
parsec,lfq,dgeqrf,19200,256,24,.5,2.376539e+01,3.971289e+02
parsec,gd,dgeqrf,19200,256,24,.5,2.384828e+01,3.957484e+02
parsec,gd,dpotrf,19200,320,24,.5,3.772800e+00,6.253924e+02
parsec,gd,dpotrf,19200,640,24,.5,3.827831e+00,6.164014e+02
