runtime,scheduler,algorithm,n,b,threads,rep,time,gflops,exit_status
parsec,ll,geqrf,3840,320,24,1,2.748232e-01,2.748203e+02,0
parsec,ll,potrf,15360,320,24,1,1.982154e+00,6.094771e+02,0
parsec,ll,potrf,11520,320,24,2,8.643529e-01,5.896599e+02,0
parsec,lfq,geqrf,7680,320,24,2,1.526891e+00,3.956391e+02,0
parsec,ll,potrf,3840,320,24,3,5.539012e-02,3.408865e+02,0
parsec,ll,geqrf,1920,320,24,1,1.061192e-01,8.899963e+01,0
parsec,lfq,geqrf,3840,320,24,5,2.907562e-01,2.597605e+02,0
parsec,lfq,geqrf,19200,320,24,1,2.182877e+01,4.323615e+02,0
parsec,ll,potrf,15360,320,24,5,2.021944e+00,5.974832e+02,0
parsec,ll,geqrf,19200,320,24,1,2.183291e+01,4.322796e+02,0
parsec,lfq,potrf,7680,320,24,5,2.790198e-01,5.412677e+02,0
parsec,ll,geqrf,1920,320,24,3,1.055930e-01,8.944313e+01,0
parsec,ll,geqrf,11520,320,24,5,4.849801e+00,4.203672e+02,0
parsec,lfq,geqrf,15360,320,24,5,1.126360e+01,4.290199e+02,0
parsec,lfq,potrf,1920,320,24,5,2.214384e-02,1.066274e+02,0
parsec,ll,potrf,11520,320,24,5,8.658180e-01,5.886621e+02,0
parsec,lfq,potrf,7680,320,24,4,2.727859e-01,5.536372e+02,0
parsec,lfq,geqrf,11520,320,24,3,4.836171e+00,4.215519e+02,0
parsec,lfq,geqrf,1920,320,24,4,1.029391e-01,9.174904e+01,0
parsec,lfq,potrf,15360,320,24,5,1.985380e+00,6.084868e+02,0
parsec,ll,geqrf,3840,320,24,2,2.830031e-01,2.668769e+02,0
parsec,ll,potrf,1920,320,24,2,2.249122e-02,1.049805e+02,0
parsec,lfq,geqrf,15360,320,24,2,1.121637e+01,4.308268e+02,0
parsec,lfq,potrf,3840,320,24,4,5.610299e-02,3.365550e+02,0
parsec,lfq,geqrf,15360,320,24,3,1.127471e+01,4.285972e+02,0
parsec,ll,geqrf,19200,320,24,4,2.183791e+01,4.321805e+02,0
parsec,lfq,potrf,3840,320,24,1,5.671096e-02,3.329470e+02,0
parsec,ll,potrf,19200,320,24,3,3.856546e+00,6.118118e+02,0
parsec,lfq,potrf,11520,320,24,1,8.700919e-01,5.857706e+02,0
parsec,lfq,geqrf,11520,320,24,4,4.857250e+00,4.197225e+02,0
parsec,lfq,potrf,7680,320,24,1,2.802310e-01,5.389284e+02,0
parsec,ll,geqrf,15360,320,24,3,1.124023e+01,4.299121e+02,0
parsec,ll,potrf,3840,320,24,2,5.650210e-02,3.341777e+02,0
parsec,ll,potrf,1920,320,24,5,2.301407e-02,1.025955e+02,0
parsec,lfq,potrf,3840,320,24,3,5.653000e-02,3.340128e+02,0
parsec,ll,geqrf,1920,320,24,4,1.059320e-01,8.915687e+01,0
parsec,ll,geqrf,1920,320,24,2,1.060121e-01,8.908950e+01,0
parsec,lfq,geqrf,3840,320,24,2,2.764790e-01,2.731744e+02,0
parsec,ll,geqrf,7680,320,24,4,1.515494e+00,3.986144e+02,0
parsec,lfq,geqrf,15360,320,24,1,1.131420e+01,4.271012e+02,0
parsec,ll,potrf,19200,320,24,4,3.848362e+00,6.131129e+02,0
parsec,lfq,potrf,15360,320,24,3,2.015804e+00,5.993031e+02,0
parsec,lfq,geqrf,7680,320,24,5,1.523633e+00,3.964851e+02,0
parsec,lfq,geqrf,19200,320,24,3,2.179039e+01,4.331232e+02,0
parsec,ll,geqrf,15360,320,24,5,1.129804e+01,4.277121e+02,0
parsec,lfq,potrf,11520,320,24,2,8.892741e-01,5.731352e+02,0
parsec,ll,potrf,11520,320,24,4,8.757870e-01,5.819615e+02,0
parsec,ll,potrf,7680,320,24,2,2.811830e-01,5.371037e+02,0
parsec,ll,geqrf,3840,320,24,5,2.807019e-01,2.690648e+02,0
parsec,ll,potrf,1920,320,24,1,2.276397e-02,1.037227e+02,0
parsec,lfq,geqrf,11520,320,24,5,4.842946e+00,4.209622e+02,0
parsec,ll,potrf,3840,320,24,1,5.783105e-02,3.264983e+02,0
parsec,lfq,potrf,19200,320,24,3,3.819646e+00,6.177222e+02,0
parsec,lfq,geqrf,3840,320,24,4,2.793071e-01,2.704084e+02,0
parsec,lfq,geqrf,7680,320,24,1,1.532876e+00,3.940943e+02,0
parsec,lfq,potrf,15360,320,24,2,2.010249e+00,6.009591e+02,0
parsec,lfq,potrf,11520,320,24,3,8.953340e-01,5.692560e+02,0
parsec,ll,geqrf,3840,320,24,3,2.763851e-01,2.732672e+02,0
parsec,ll,geqrf,7680,320,24,2,1.523450e+00,3.965327e+02,0
parsec,ll,geqrf,15360,320,24,1,1.126727e+01,4.288803e+02,0
parsec,ll,potrf,11520,320,24,1,8.762019e-01,5.816859e+02,0
parsec,ll,geqrf,7680,320,24,1,1.527847e+00,3.953915e+02,0
parsec,ll,potrf,19200,320,24,1,3.829303e+00,6.161644e+02,0
parsec,ll,geqrf,7680,320,24,5,1.527782e+00,3.954084e+02,0
parsec,lfq,geqrf,19200,320,24,4,2.179316e+01,4.330681e+02,0
parsec,ll,potrf,7680,320,24,5,2.769148e-01,5.453823e+02,0
parsec,lfq,geqrf,1920,320,24,1,1.013079e-01,9.322638e+01,0
parsec,ll,geqrf,11520,320,24,3,4.851634e+00,4.202084e+02,0
parsec,lfq,geqrf,19200,320,24,5,2.180747e+01,4.327839e+02,0
parsec,lfq,geqrf,11520,320,24,2,4.869295e+00,4.186843e+02,0
parsec,ll,potrf,1920,320,24,4,2.297688e-02,1.027616e+02,0
parsec,lfq,potrf,15360,320,24,4,1.972534e+00,6.124495e+02,0
parsec,ll,geqrf,19200,320,24,3,2.184176e+01,4.321044e+02,0
parsec,lfq,geqrf,1920,320,24,5,1.023889e-01,9.224212e+01,0
parsec,lfq,potrf,3840,320,24,5,5.571914e-02,3.388735e+02,0
parsec,lfq,geqrf,1920,320,24,2,1.015470e-01,9.300684e+01,0
parsec,lfq,potrf,11520,320,24,5,8.842490e-01,5.763923e+02,0
parsec,ll,geqrf,19200,320,24,2,2.182916e+01,4.323538e+02,0
parsec,lfq,geqrf,15360,320,24,4,1.124642e+01,4.296753e+02,0
parsec,ll,potrf,3840,320,24,4,5.540705e-02,3.407823e+02,0
parsec,ll,potrf,3840,320,24,5,5.773592e-02,3.270363e+02,0
parsec,lfq,geqrf,7680,320,24,4,1.531970e+00,3.943274e+02,0
