===============================================================
Date        : Tue May 12 01:38:43 PM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782024
Node(s)     : cei2
===============================================================
[15:53:02] 0067_parsec_gd_potrf_n26400_b480_blk2
[15:53:22] 0068_parsec_gd_potrf_n24000_b480_blk2
[15:53:38] 0069_parsec_gd_geqrf_n2400_b480_blk2
[15:53:38] 0070_parsec_gd_potrf_n28800_b480_blk2
[15:54:04] 0071_parsec_lfq_geqrf_n28800_b480_blk2
[15:56:32] 0072_parsec_lfq_geqrf_n16800_b480_blk2
[15:57:03] 0073_parsec_lfq_geqrf_n4800_b480_blk2
[15:57:04] 0074_parsec_gd_geqrf_n19200_b480_blk2
[15:57:49] 0075_parsec_lfq_potrf_n26400_b480_blk2
[15:58:09] 0076_parsec_lfq_potrf_n19200_b480_blk2
[15:58:18] 0077_parsec_gd_geqrf_n21600_b480_blk2
[15:59:20] 0078_parsec_gd_potrf_n12000_b480_blk2
[15:59:22] 0079_parsec_lfq_geqrf_n21600_b480_blk2
[16:00:26] 0080_parsec_gd_geqrf_n14400_b480_blk2
[16:00:45] 0081_parsec_gd_potrf_n16800_b480_blk2
[16:00:50] 0082_parsec_gd_potrf_n7200_b480_blk2
[16:00:51] 0083_parsec_lfq_potrf_n9600_b480_blk2
[16:00:52] 0084_parsec_lfq_potrf_n12000_b480_blk2
[16:00:54] 0085_parsec_lfq_potrf_n21600_b480_blk2
[16:01:06] 0086_parsec_lfq_geqrf_n12000_b480_blk2
[16:01:18] 0087_parsec_gd_geqrf_n28800_b480_blk2
[16:03:44] 0088_parsec_gd_geqrf_n12000_b480_blk2
[16:03:56] 0089_parsec_lfq_potrf_n14400_b480_blk2
[16:03:59] 0090_parsec_lfq_geqrf_n19200_b480_blk2
[16:04:44] 0091_parsec_gd_potrf_n21600_b480_blk2
[16:04:55] 0092_parsec_lfq_geqrf_n7200_b480_blk2
[16:04:58] 0093_parsec_gd_potrf_n9600_b480_blk2
[16:04:59] 0094_parsec_lfq_geqrf_n24000_b480_blk2
[16:06:26] 0095_parsec_gd_geqrf_n9600_b480_blk2
[16:06:32] 0096_parsec_gd_potrf_n19200_b480_blk2
[16:06:40] 0097_parsec_lfq_potrf_n12000_b480_blk3
[16:06:42] 0098_parsec_gd_geqrf_n19200_b480_blk3
[16:07:26] 0099_parsec_lfq_potrf_n7200_b480_blk3
[16:07:27] 0100_parsec_gd_geqrf_n16800_b480_blk3
[16:07:57] 0101_parsec_lfq_geqrf_n2400_b480_blk3
[16:07:58] 0102_parsec_gd_geqrf_n9600_b480_blk3
[16:08:04] 0103_parsec_lfq_geqrf_n28800_b480_blk3
[16:10:32] 0104_parsec_gd_geqrf_n7200_b480_blk3
[16:10:35] 0105_parsec_gd_potrf_n28800_b480_blk3
[16:11:01] 0106_parsec_lfq_geqrf_n9600_b480_blk3
[16:11:07] 0107_parsec_lfq_potrf_n28800_b480_blk3
[16:11:34] 0108_parsec_gd_potrf_n2400_b480_blk3
[16:11:34] 0109_parsec_gd_geqrf_n28800_b480_blk3
[16:14:00] 0110_parsec_lfq_geqrf_n16800_b480_blk3
[16:14:30] 0111_parsec_gd_geqrf_n4800_b480_blk3
[16:14:31] 0112_parsec_gd_geqrf_n14400_b480_blk3
[16:14:51] 0113_parsec_gd_geqrf_n2400_b480_blk3
[16:14:51] 0114_parsec_lfq_geqrf_n14400_b480_blk3
[16:15:11] 0115_parsec_gd_potrf_n16800_b480_blk3
[16:15:16] 0116_parsec_lfq_geqrf_n21600_b480_blk3
[16:16:19] 0117_parsec_lfq_geqrf_n24000_b480_blk3
[16:17:45] 0118_parsec_lfq_potrf_n19200_b480_blk3
[16:17:53] 0119_parsec_gd_potrf_n14400_b480_blk3
[16:17:57] 0120_parsec_lfq_potrf_n26400_b480_blk3
[16:18:18] 0121_parsec_lfq_potrf_n24000_b480_blk3
[16:18:34] 0122_parsec_gd_potrf_n7200_b480_blk3
[16:18:34] 0123_parsec_lfq_geqrf_n26400_b480_blk3
[16:20:29] 0124_parsec_gd_potrf_n9600_b480_blk3
[16:20:30] 0125_parsec_lfq_geqrf_n19200_b480_blk3
[16:21:15] 0126_parsec_gd_potrf_n21600_b480_blk3
[16:21:26] 0127_parsec_lfq_geqrf_n7200_b480_blk3
[16:21:29] 0128_parsec_gd_geqrf_n12000_b480_blk3
[16:21:41] 0129_parsec_lfq_potrf_n21600_b480_blk3
[16:21:52] 0130_parsec_gd_potrf_n24000_b480_blk3
[16:22:07] 0131_parsec_gd_potrf_n4800_b480_blk3
[16:22:08] 0132_parsec_lfq_geqrf_n4800_b480_blk3
[16:22:09] 0133_parsec_gd_geqrf_n21600_b480_blk3
[16:23:12] 0134_parsec_gd_potrf_n19200_b480_blk3
[16:23:19] 0135_parsec_lfq_potrf_n2400_b480_blk3
[16:23:20] 0136_parsec_lfq_geqrf_n12000_b480_blk3
[16:23:31] 0137_parsec_lfq_potrf_n16800_b480_blk3
[16:23:37] 0138_parsec_lfq_potrf_n14400_b480_blk3
[16:23:40] 0139_parsec_lfq_potrf_n4800_b480_blk3
[16:23:41] 0140_parsec_gd_potrf_n12000_b480_blk3
[16:23:43] 0141_parsec_lfq_potrf_n9600_b480_blk3
[16:23:44] 0142_parsec_gd_geqrf_n26400_b480_blk3
[16:25:37] 0143_parsec_gd_potrf_n26400_b480_blk3
[16:25:57] 0144_parsec_gd_geqrf_n24000_b480_blk3
[16:27:23] 0145_parsec_lfq_geqrf_n4800_b480_blk4
[16:27:24] 0146_parsec_gd_geqrf_n9600_b480_blk4
[16:27:30] 0147_parsec_gd_potrf_n26400_b480_blk4
[16:27:50] 0148_parsec_gd_geqrf_n2400_b480_blk4
[16:27:51] 0149_parsec_lfq_geqrf_n26400_b480_blk4
[16:29:45] 0150_parsec_lfq_geqrf_n14400_b480_blk4
[16:30:04] 0151_parsec_lfq_potrf_n2400_b480_blk4
[16:30:04] 0152_parsec_lfq_geqrf_n16800_b480_blk4
[16:30:35] 0153_parsec_gd_geqrf_n24000_b480_blk4
[16:32:00] 0154_parsec_lfq_geqrf_n2400_b480_blk4
[16:32:01] 0155_parsec_gd_potrf_n21600_b480_blk4
[16:32:12] 0156_parsec_gd_geqrf_n26400_b480_blk4
[16:34:05] 0157_parsec_lfq_geqrf_n24000_b480_blk4
[16:35:31] 0158_parsec_lfq_geqrf_n9600_b480_blk4
[16:35:37] 0159_parsec_gd_potrf_n2400_b480_blk4
[16:35:37] 0160_parsec_lfq_potrf_n4800_b480_blk4
[16:35:38] 0161_parsec_gd_potrf_n16800_b480_blk4
[16:35:43] 0162_parsec_gd_geqrf_n28800_b480_blk4
[16:38:09] 0163_parsec_gd_geqrf_n12000_b480_blk4
[16:38:21] 0164_parsec_gd_potrf_n28800_b480_blk4
