===============================================================
Date        : Wed May 13 10:49:42 AM -03 2026
SubmitHost  : cei2
SubmitDir   : /home/users/matregnago/intro_hpc
JobID       : 782087
Node(s)     : cei2
===============================================================
[11:28:58] 0357_starpu_ws_dgeqrf_n4800_b480_rep4
[11:28:59] 0359_starpu_lws_dgeqrf_n28800_b480_rep4
[11:30:14] 0360_starpu_lws_dgeqrf_n16800_b480_rep4
[11:30:30] 0361_starpu_lws_dpotrf_n9600_b480_rep4
[11:30:30] 0363_starpu_ws_dgeqrf_n7200_b480_rep4
[11:30:32] 0365_starpu_lws_dgeqrf_n7200_b480_rep4
[11:30:33] 0366_starpu_lws_dgeqrf_n2400_b480_rep4
[11:30:34] 0368_starpu_ws_dgeqrf_n28800_b480_rep4
[11:31:49] 0372_starpu_lws_dgeqrf_n19200_b480_rep4
[11:32:12] 0373_starpu_lws_dgeqrf_n12000_b480_rep4
[11:32:18] 0374_starpu_lws_dgeqrf_n9600_b480_rep4
[11:32:21] 0380_starpu_lws_dgeqrf_n14400_b480_rep4
[11:32:31] 0381_starpu_ws_dpotrf_n28800_b480_rep4
[11:32:45] 0382_starpu_ws_dgeqrf_n2400_b480_rep4
[11:32:45] 0385_starpu_lws_dgeqrf_n24000_b480_rep5
[11:33:29] 0389_starpu_ws_dpotrf_n7200_b480_rep5
[11:33:30] 0390_starpu_lws_dgeqrf_n2400_b480_rep5
[11:33:30] 0391_starpu_lws_dpotrf_n2400_b480_rep5
[11:33:30] 0395_starpu_ws_dgeqrf_n19200_b480_rep5
[11:33:53] 0396_starpu_lws_dpotrf_n16800_b480_rep5
[11:33:56] 0397_starpu_ws_dpotrf_n2400_b480_rep5
[11:33:56] 0398_starpu_lws_dgeqrf_n4800_b480_rep5
[11:33:57] 0399_starpu_ws_dgeqrf_n21600_b480_rep5
[11:34:29] 0400_starpu_lws_dpotrf_n7200_b480_rep5
[11:34:30] 0403_starpu_ws_dgeqrf_n16800_b480_rep5
[11:34:45] 0405_starpu_lws_dgeqrf_n9600_b480_rep5
[11:34:48] 0407_starpu_ws_dgeqrf_n28800_b480_rep5
[11:36:04] 0408_starpu_ws_dpotrf_n28800_b480_rep5
[11:36:18] 0411_starpu_ws_dgeqrf_n26400_b480_rep5
[11:37:16] 0412_starpu_lws_dpotrf_n14400_b480_rep5
[11:37:18] 0416_starpu_lws_dgeqrf_n14400_b480_rep5
[11:37:28] 0417_starpu_lws_dpotrf_n4800_b480_rep5
[11:37:28] 0418_starpu_ws_dgeqrf_n2400_b480_rep5
[11:37:29] 0420_starpu_lws_dgeqrf_n16800_b480_rep5
[11:37:44] 0422_starpu_ws_dpotrf_n9600_b480_rep5
[11:37:45] 0426_starpu_ws_dgeqrf_n12000_b480_rep5
[11:37:51] 0427_starpu_ws_dgeqrf_n7200_b480_rep5
[11:37:52] 0429_starpu_ws_dpotrf_n26400_b480_rep5
[11:38:03] 0431_starpu_lws_dpotrf_n9600_b480_rep5
[11:38:04] 0433_starpu_ws_dpotrf_n4800_b480_rep5
[11:38:04] 0434_starpu_ws_dpotrf_n24000_b480_rep5
[11:38:13] 0435_starpu_lws_dpotrf_n12000_b480_rep5
[11:38:14] 0437_starpu_lws_dgeqrf_n26400_b480_rep5
[11:39:12] 0438_starpu_lws_dgeqrf_n7200_b480_rep5
[11:39:14] 0441_starpu_lws_dgeqrf_n12000_b480_rep5
[11:39:20] 0442_starpu_ws_dpotrf_n21600_b480_rep5
[11:39:26] 0445_starpu_lws_dpotrf_n21600_b480_rep5
[11:39:32] 0449_starpu_ws_dgeqrf_n9600_b480_rep5
[11:39:35] 0450_starpu_lws_dpotrf_n19200_b480_rep5
[11:39:40] 0454_starpu_lws_dpotrf_n28800_b480_rep5
[11:39:54] 0455_starpu_ws_dpotrf_n16800_b480_rep5
[11:39:57] 0456_starpu_lws_dpotrf_n24000_b480_rep5
[11:40:05] 0460_starpu_ws_dpotrf_n19200_b480_rep5
[11:40:10] 0463_starpu_ws_dpotrf_n14400_b480_rep5
[11:40:12] 0464_starpu_ws_dgeqrf_n24000_b480_rep5
[11:40:56] 0466_starpu_lws_dgeqrf_n28800_b480_rep5
[11:42:11] 0467_starpu_lws_dgeqrf_n21600_b480_rep5
[11:42:43] 0468_starpu_ws_dpotrf_n12000_b480_rep5
[11:42:44] 0470_starpu_ws_dgeqrf_n14400_b480_rep5
[11:42:54] 0471_starpu_lws_dpotrf_n26400_b480_rep5
[11:43:05] 0474_starpu_lws_dgeqrf_n19200_b480_rep5
[11:43:28] 0475_starpu_ws_dgeqrf_n4800_b480_rep5
[11:43:32] 0001_parsec_lfq_dgeqrf_n24000_b480_rep1
[11:44:15] 0005_parsec_gd_dpotrf_n19200_b480_rep1
[11:44:19] 0008_parsec_gd_dgeqrf_n12000_b480_rep1
[11:44:25] 0009_parsec_lfq_dpotrf_n14400_b480_rep1
[11:44:27] 0010_parsec_lfq_dpotrf_n4800_b480_rep1
[11:44:27] 0011_parsec_gd_dpotrf_n16800_b480_rep1
[11:44:30] 0013_parsec_lfq_dgeqrf_n7200_b480_rep1
[11:44:31] 0014_parsec_gd_dgeqrf_n2400_b480_rep1
[11:44:31] 0016_parsec_gd_dpotrf_n2400_b480_rep1
[11:44:32] 0017_parsec_gd_dpotrf_n9600_b480_rep1
[11:44:32] 0019_parsec_gd_dgeqrf_n9600_b480_rep1
[11:44:35] 0020_parsec_gd_dpotrf_n26400_b480_rep1
[11:44:45] 0024_parsec_lfq_dgeqrf_n26400_b480_rep1
[11:45:43] 0029_parsec_gd_dpotrf_n12000_b480_rep1
[11:45:44] 0030_parsec_gd_dgeqrf_n4800_b480_rep1
[11:45:45] 0032_parsec_lfq_dpotrf_n24000_b480_rep1
[11:45:52] 0034_parsec_lfq_dpotrf_n9600_b480_rep1
[11:45:53] 0035_parsec_lfq_dgeqrf_n9600_b480_rep1
